Rank[a],Prefectures,Capital,Est. Area (km),"Census Population Oct 1, 2020","Census Population Oct 1, 2022","Population Change, 2020–2022","% Change, 2020–2022",2020 Population Density (/km),2022 Population Density (/km)
1.0,Tokyo-to,Shinjuku-ku,2188.67,14047594,14038167,-9427,-0.07%,6418.32,6414.02
2.0,Kanagawa-ken,Yokohama-shi,2415.86,9237337,9232489,-4848,-0.05%,3823.62,3821.62
3.0,Ōsaka-fu,Ōsaka-shi,1899.28,8837685,8782484,-55201,-0.62%,4653.18,4624.11
4.0,Aichi-ken,Nagoya-shi,5165.12,7542415,7495171,-47244,-0.63%,1460.26,1451.11
5.0,Saitama-ken,Saitama-shi,3798.08,7344765,7337089,-7676,-0.10%,1933.81,1931.79
6.0,Chiba-ken,Chiba-shi,5156.61,6284480,6265975,-18505,-0.29%,1218.72,1215.13
7.0,Hyōgo-ken,Kōbe-shi,8396.16,5465002,5402493,-62509,-1.14%,650.9,643.45
8.0,Hokkaido,Sapporo-shi,83457.0,5224614,5140354,-84260,-1.61%,62.61,61.59
9.0,Fukuoka-ken,Fukuoka-shi,4978.51,5135214,5116046,-19168,-0.37%,1031.48,1027.63
10.0,Shizuoka-ken,Shizuoka-shi,7780.5,3633202,3582297,-50905,-1.40%,466.96,460.62
11.0,Ibaraki-ken,Mito-shi,6095.72,2867009,2839555,-27454,-0.96%,470.33,465.83
12.0,Hiroshima-ken,Hiroshima-shi,8479.7,2799702,2759500,-40202,-1.44%,330.16,325.42
13.0,Kyōto-fu,Kyōto-shi,4613.21,2578087,2549749,-28338,-1.10%,558.85,552.71
14.0,Miyagi-ken,Sendai-shi,7285.77,2301996,2279977,-22019,-0.96%,315.96,312.94
15.0,Niigata-ken,Niigata-shi,12583.83,2201272,2152693,-48579,-2.21%,174.93,171.07
16.0,Nagano-ken,Nagano-shi,13562.23,2048011,2019993,-28018,-1.37%,151.0,148.94
17.0,Gifu-ken,Gifu-shi,10621.17,1978742,1945763,-32979,-1.67%,186.31,183.2
18.0,Gunma-ken,Maebashi-shi,6362.33,1939110,1913254,-25856,-1.33%,304.78,300.72
19.0,Tochigi-ken,Utsunomiya-shi,6408.28,1933146,1908821,-24325,-1.26%,301.66,297.87
20.0,Okayama-ken,Okayama-shi,7113.23,1888432,1862317,-26115,-1.38%,265.49,261.81
21.0,Fukushima-ken,Fukushima-shi,13782.76,1833152,1790181,-42971,-2.34%,133.0,129.89
22.0,Mie-ken,Tsu-shi,5777.31,1770254,1742174,-28080,-1.59%,306.41,301.55
23.0,Kumamoto-ken,Kumamoto-shi,7404.79,1738301,1718327,-19974,-1.15%,234.76,232.06
24.0,Kagoshima-ken,Kagoshima-shi,9188.82,1588256,1562662,-25594,-1.61%,172.85,170.06
25.0,Okinawa-ken,Naha-shi,2276.49,1467480,1468318,838,0.06%,644.63,644.99
26.0,Shiga-ken,Ōtsu-shi,4017.36,1413610,1408931,-4679,-0.33%,351.88,350.71
27.0,Yamaguchi-ken,Yamaguchi-shi,6114.09,1342059,1313403,-28656,-2.14%,219.5,214.82
28.0,Ehime-ken,Matsuyama-shi,5678.33,1344841,1306486,-38355,-2.85%,236.84,230.08
29.0,Nara-ken,Nara-shi,3691.09,1324473,1305812,-18661,-1.41%,358.83,353.77
30.0,Nagasaki-ken,Nagasaki-shi,4105.47,1312317,1283128,-29939,-2.22%,319.65,312.54
31.0,Aomori-ken,Aomori-shi,9644.55,1237984,1204392,-33592,-2.71%,128.36,124.88
32.0,Iwate-ken,Morioka-shi,15278.89,1210534,1180595,-29939,-2.47%,79.23,77.27
33.0,Ishikawa-ken,Kanazawa-shi,4185.67,1132852,1117637,-15215,-1.34%,270.65,267.02
34.0,Ōita-ken,Ōita-shi,6339.74,1123852,1106831,-17021,-1.51%,177.27,174.59
35.0,Miyazaki-ken,Miyazaki-shi,7735.99,1069576,1052338,-17238,-1.61%,138.26,136.03
36.0,Yamagata-ken,Yamagata-shi,9323.46,1068027,1041025,-27002,-2.53%,114.55,111.66
37.0,Toyama-ken,Toyama-shi,4247.61,1034814,1016534,-18280,-1.77%,243.62,239.32
39.0,Kagawa-ken,Takamatsu-shi,1876.55,950244,934060,-16184,-1.70%,506.38,497.75
38.0,Akita-ken,Akita-shi,11636.28,959502,929901,-29601,-3.09%,82.46,79.91
40.0,Wakayama-ken,Wakayama-shi,4726.29,922584,903265,-19319,-2.09%,195.2,191.12
41.0,Yamanashi-ken,Kōfu-shi,4465.37,809974,801874,-8100,-1.00%,181.39,179.58
42.0,Saga-ken,Saga-shi,2439.65,811442,800787,-10655,-1.31%,332.6,328.24
43.0,Fukui-ken,Fukui-shi,4189.88,766863,752855,-14008,-1.83%,183.03,179.68
44.0,Tokushima-ken,Tokushima-shi,4146.74,719559,703852,-15707,-2.18%,173.53,169.74
45.0,Kōchi-ken,Kōchi-shi,7105.16,691527,675705,-15822,-2.29%,97.33,95.1
46.0,Shimane-ken,Matsue-shi,6707.96,671126,657909,-13217,-1.97%,100.05,98.08
47.0,Tottori-ken,Tottori-shi,3507.28,553407,543620,-9787,-1.77%,157.79,155.0
,Japan,Tōkyō-to,377954.84,126146099,124946789,-1199310,-0.95%,333.76,330.59
